Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips 100-250,Number of Trips >=250
931260501,1419046291,1350391995,49623786.55884287,14404881,7180722
953289722,1478279168,1386294487,52642192.667324126,16716917,7323746
931192109,1494626655,1330515105,54111137.318677686,16757981,6747847
820484397,1356243281,1168542292,48524728.01971739,18561884,8228494
915213178,1401548380,1296110341,47034772.78104575,13646313,7061138
919910560,1411690036,1314067797,45399218.50114416,13516123,7049730
923208469,1429149389,1347189120,45594235.91593065,12665647,6019059
982778500,1484696465,1360950605,47627373.92423745,14410215,7414866
1013210173,1575328589,1454316656,55594334.408478476,18285341,7957975
960063137,1524347988,1348890402,56509493.02667106,19529038,7572603
886857663,1437553327,1248128385,52577276.69539667,20145213,8683191
981408516,1526704561,1372052985,54109657.578396074,18583170,9640694
908690449,1450716264,1274671872,52051734.91798515,18766031,9536880
710198698,1057312586,1013911063,58136467.48760863,21239841,10817244
789731347,1297775121,1189490563,54335337.89797232,21666555,9375288
803247412,1332587142,1254607849,55590453.64267352,21541718,9021572
807143343,1347800511,1193129125,54815245.99774339,21413471,9037387
650940620,1145642726,995634678,49282260.52047345,22584545,10388042
705251617,1328537931,1124144114,38780736.83317476,13105648,4986584
980168717,1716360891,1488613389,50067841.144578315,14690589,4835246
692502957,1062128899,811829010,47629268.48056427,22734252,7727628
882444628,1302901219,1071779490,55194739.377742946,21593193,6558487
902691333,1362688335,1114109805,57209820.16645768,23472827,7026840
834248409,1301559462,1004195862,56154633.42677955,23784703,7245749
735244449,1181313963,878498211,47614122.82795362,24081718,8213773
884479921,1304210869,1071054195,52742754.612033844,18953422,6312700
908337349,1325396730,1087609089,52501067.16045127,17923110,5899217
921194484,1343041153,1109161004,53469818.41272329,18699022,6072885
925963768,1349272382,1112362285,54512556.04356001,19170775,5935851
970375834,1443857587,1157110773,56145246.12942651,21611677,6134887
873479307,1353119442,1013295296,51843857.34827586,19868383,5646132
791315925,1247052912,910090978,46278301.2441241,21436938,6661685
922581897,1325511509,1070982907,51156923.19122257,17589341,5379332
945577179,1359702012,1110921777,52354005.838557996,17401666,5214193
952257830,1367462337,1112748475,52476567.14075235,18048905,5713170
949504959,1365531284,1111285654,54331275.73362582,20305750,6867975
985361164,1439294561,1142094538,56170426.28361015,23192782,6859734
892126392,1365382135,1012073829,51585987.87339392,20912342,6125153
802549441,1237400989,908303807,46778312.06896552,22019594,6874253
852150198,1248247646,1015706679,56001861.70940439,22698332,6886471
917432591,1322851515,1091408302,53197224.51018489,18583018,6222416
934659208,1360804381,1116526498,52537736.19341693,18340181,5799341
953048669,1363187032,1111711604,54081064.609404385,19656516,6491158
997233693,1455603630,1161148906,57474567.01630094,22664882,6578575
895940070,1366400412,1053489700,56708617.71473354,21176551,5877149
809454626,1255914906,920839680,48698070.82356628,22326730,6806601
937394949,1334758164,1079941197,52192054.93418991,18427485,6031303
932498017,1343192374,1096006454,52734463.216546535,18195709,6006914
936145315,1353599678,1109627466,53042493.63647759,18375958,6037445
914353449,1319801106,1092982065,58256641.18301473,24638193,9884189
951988049,1408697848,1135112505,62357426.638357885,28808523,11043959
885445808,1372771354,1047388241,61229494.85772485,27193353,10051522
800937875,1242324890,904794035,49921589.797555625,26064728,10473491
928083400,1328953505,1068208676,57819206.451269194,25669937,10516760
914855979,1316233892,1083588623,58376593.92541523,24981045,10543859
925372735,1327519659,1072920650,56674795.787840806,24912168,10690924
922436736,1327074234,1068035032,56293527.218113445,24755726,10355299
963679472,1416849364,1121127094,60404082.041679725,27233791,10228892
871619726,1338998906,1025496784,59868177.103102475,25252179,9251795
703071636,1126402187,836979420,50280180.22030711,26424508,11689688
878837985,1318289824,1081770702,58978032.02098998,26050302,12629600
890407721,1330802210,1100099535,59174262.348684214,25661179,12452050
910737040,1360441111,1123783826,60126109.663428396,26967492,13708643
900221735,1356029109,1112581069,61793660.55907239,28804235,14283988
957241053,1468620234,1202597177,69904595.29927923,34462448,15688665
866498541,1355368288,1094783418,70505338.15579937,32186114,14295273
771677503,1219394024,944435284,60605940.065476194,32305204,14698119
718766858,1079459563,896318842,55283010.4608396,26963248,12199770
876154320,1301196465,1101371863,62311727.388279535,28357447,14088008
910009188,1342085375,1132549229,63162461.03949843,27862339,12821045
887683528,1310549071,1104775826,63003509.73322884,28599276,12342451
938844166,1398280932,1167375696,70554931.93765664,34771276,14427271
905130358,1384107394,1100229697,71493857.92288402,32932879,13474319
795163679,1255458773,944905063,56647438.60626959,28452073,9682068
897825229,1344268886,1096229961,53874207.37911571,21164794,9337661
911021462,1353957592,1134618293,56912123.3295704,21137742,9193603
929847882,1486523266,1123793289,50527360.02634881,19675897,7494353
945706544,1395566658,1138086281,56454641.70116024,21002570,8321896
999669852,1498941119,1192100528,61800143.79272499,25072718,8700866
935655980,1460807317,1136441227,65014051.59723965,24175865,8065699
838348711,1292896078,951033809,53398580.31056095,25624723,9347225
956477342,1377362022,1109333622,56299207.47696647,20797341,8914363
987466577,1376284823,1126976727,65019214.12879975,27145481,9093398
985252276,1378640154,1149545653,66391918.75806957,27940866,8863841
980639478,1378350544,1147470068,67305820.05828893,28887140,8978951
