year,Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips >=100
2019/06/09,986919465.8634996,1624623431.6382816,1329041582.1593406,256527603.61666435,34359957.32831641
2019/06/10,986594784.0094248,1625438458.8590565,1329793412.6597562,256857958.35149023,34417703.370678894
2019/06/11,984689727.4511218,1623545013.9075775,1327457431.2763472,256603096.2230571,34526403.1598947
2019/06/12,984168844.2789364,1622003887.332778,1327191509.6698787,256892976.8398285,34607687.30495192
2019/06/13,983478262.5828936,1619665300.5763972,1326720523.96394,257073501.07916492,34639941.47391832
2019/06/14,982964855.3882058,1618545685.453041,1328193245.596074,257398925.9663012,34599812.88027837
2019/06/15,985104545.5560536,1621184903.8138838,1333005910.4421234,258409080.75948432,34458775.0039461
2019/06/16,985653379.2900606,1622822266.8255002,1335910333.4428043,259187808.21065068,34496545.9288716
2019/06/17,985877562.902282,1624247272.2653964,1337487625.57794,259718746.6978207,34580297.35190516
2019/06/18,983390088.3815528,1621650299.1750796,1335431304.8365226,259557935.30946836,34836541.25198931
2019/06/19,984609614.3366908,1622391320.3002875,1337236900.0812185,260357128.25677076,34893526.987805605
2019/06/20,984143305.731277,1621419759.9497097,1337935802.553084,260719569.68973145,34963545.22854909
2019/06/21,984122891.0951058,1621643434.2211497,1340568345.680186,261257113.6807013,34955894.022821724
2019/06/22,986374558.428634,1624533932.603475,1345953605.46867,262401680.1160418,34868364.86113759
2019/06/23,987248467.54162,1626721384.269757,1349345581.2907958,263330878.06777763,34939571.62166412
2019/06/24,987898762.866905,1628689255.8984358,1351480372.2835364,264082188.6610563,35028856.96213409
2019/06/25,986682036.8194504,1627691253.3682394,1350406549.0908558,264219996.54009467,35215806.254462324
2019/06/26,985957938.7547607,1627575532.8070962,1351037034.4815705,264356171.91404277,35206820.272568986
2019/06/27,985172429.5410348,1627210210.8202157,1351564264.360705,264309370.03906205,35161521.267069414
2019/06/28,983948090.7365874,1626373029.657224,1353091668.9806335,264423391.6772375,35138005.63457705
2019/06/29,985782160.7728206,1628923327.3398385,1357463291.8434029,265122129.45169064,35011575.939794965
2019/06/30,985427653.718192,1630567700.324659,1359909438.6655204,265616971.4521974,35036122.52645849
2019/07/01,985065204.2639294,1631917629.6222014,1361001822.612214,265901151.35057747,35100734.21774217
2019/07/02,981413839.2909936,1629085334.1749992,1359053671.712139,265677086.40811345,35257438.915839136
2019/07/03,980094517.921377,1628288556.0553286,1359111251.1664157,265707160.15561336,35247841.2005851
2019/07/04,978974149.812982,1627375568.2532668,1359303720.244695,265515469.9670431,35204501.11978673
2019/07/05,977847906.2079644,1626316503.6984472,1360745698.157796,265548575.5935349,35189738.58406713
2019/07/06,978365551.2599888,1627532691.4155278,1364682042.1411576,266118196.328218,35099523.69873396
2019/07/07,978724859.9439788,1629267038.170767,1367407925.3403077,266549221.4019234,35171997.55315531
2019/07/08,978770394.3745072,1630419524.1473763,1368778651.7757788,266755471.3465984,35269207.472327806
2019/07/09,975782996.6436543,1627910370.985602,1366719829.8875067,266290094.1218905,35468096.04635217
2019/07/10,975156231.4366748,1627834841.2327511,1367569559.9521763,266332584.65915683,35469027.66312938
2019/07/11,974137795.0861408,1627331313.5671773,1368095845.8401542,266064606.04663253,35448938.62678789
2019/07/12,973157308.2267208,1626832689.1267564,1369903329.9339762,266021242.65410295,35428908.064971514
2019/07/13,971572960.8416456,1624581992.731381,1371576961.3065517,266105520.55214232,35386408.623286575
2019/07/14,971517089.3215688,1625082482.1872752,1375875566.580543,266582101.8181232,35378529.77229371
2019/07/15,971960723.984233,1627065525.0838983,1377148313.8978784,266725826.66024625,35530763.209985025
2019/07/16,971081889.0835836,1627117938.0411427,1376477806.5776386,266470885.28634483,35721215.77299568
2019/07/17,969527556.9236068,1626347948.15733,1374122805.5693948,266043297.15985456,35842134.12445314
2019/07/18,969332060.6744186,1627109270.675942,1374610425.0811007,265812709.1697119,35839620.04959421
2019/07/19,969111905.5521432,1627780557.3580236,1376479534.7858624,265775017.49190915,35829404.20484663
2019/07/20,969879217.0442418,1629113724.925669,1379773399.0698185,266102481.6631476,35757670.61093869
