Date,Location,Value
18-Oct-20,Intercity Bus,-0.66
25-Oct-20,Intercity Bus,-0.66
1-Nov-20,Intercity Bus,-0.67
8-Nov-20,Intercity Bus,-0.68
15-Nov-20,Intercity Bus,-0.68
22-Nov-20,Intercity Bus,-0.7
29-Nov-20,Intercity Bus,-0.72
6-Dec-20,Intercity Bus,-0.72
13-Dec-20,Intercity Bus,-0.73
20-Dec-20,Intercity Bus,-0.73
27-Dec-20,Intercity Bus,-0.69
3-Jan-21,Intercity Bus,-0.67
10-Jan-21,Intercity Bus,-0.66
17-Jan-21,Intercity Bus,-0.68
24-Jan-21,Intercity Bus,-0.67
31-Jan-21,Intercity Bus,-0.66
7-Feb-21,Intercity Bus,-0.66
14-Feb-21,Intercity Bus,-0.67
21-Feb-21,Intercity Bus,-0.72
28-Feb-21,Intercity Bus,-0.68
7-Mar-21,Intercity Bus,-0.63
14-Mar-21,Intercity Bus,-0.65
21-Mar-21,Intercity Bus,-0.58
28-Mar-21,Intercity Bus,-0.57
4-Apr-21,Intercity Bus,-0.58
11-Apr-21,Intercity Bus,-0.58
18-Apr-21,Intercity Bus,-0.61
25-Apr-21,Intercity Bus,-0.6
2-May-21,Intercity Bus,-0.61
9-May-21,Intercity Bus,-0.6
16-May-21,Intercity Bus,-0.6
23-May-21,Intercity Bus,-0.59
30-May-21,Intercity Bus,-0.57
6-Jun-21,Intercity Bus,-0.58
13-Jun-21,Intercity Bus,-0.57
20-Jun-21,Intercity Bus,-0.57
27-Jun-21,Intercity Bus,-0.57
4-Jul-21,Intercity Bus,-0.56
11-Jul-21,Intercity Bus,-0.57
18-Jul-21,Intercity Bus,-0.56
25-Jul-21,Intercity Bus,-0.57
1-Aug-21,Intercity Bus,-0.59
8-Aug-21,Intercity Bus,-0.57
15-Aug-21,Intercity Bus,-0.59
22-Aug-21,Intercity Bus,-0.59
29-Aug-21,Intercity Bus,-0.6
5-Sep-21,Intercity Bus,-0.47
12-Sep-21,Intercity Bus,-0.55
19-Sep-21,Intercity Bus,-0.54
26-Sep-21,Intercity Bus,-0.56
3-Oct-21,Intercity Bus,-0.57
10-Oct-21,Intercity Bus,-0.56
17-Oct-21,Intercity Bus,-0.54
24-Oct-21,Intercity Bus,-0.54
31-Oct-21,Intercity Bus,-0.56
7-Nov-21,Intercity Bus,-0.53
14-Nov-21,Intercity Bus,-0.48
21-Nov-21,Intercity Bus,-0.46
28-Nov-21,Intercity Bus,-0.5
5-Dec-21,Intercity Bus,-0.525
12-Dec-21,Intercity Bus,-0.514
19-Dec-21,Intercity Bus,-0.502
26-Dec-21,Intercity Bus,-0.521
2-Jan-22,Intercity Bus,-0.562
9-Jan-22,Intercity Bus,-0.539
16-Jan-22,Intercity Bus,-0.587
23-Jan-22,Intercity Bus,-0.587
30-Jan-22,Intercity Bus,-0.589
6-Feb-22,Intercity Bus,-0.584

