Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips >=100,date
653355313.0024154,1069353095.717702,845147892.8644648,219393850.33852026,31830533.41102302,2020/11/29
653342939.3444116,1069598961.7553488,844821106.9479256,219253339.9254081,32005633.144255552,2020/11/30
651903871.3933431,1067260796.3065357,842041397.4502724,218628319.51726833,32259579.05393775,2020/12/01
650233727.5656595,1064487998.6827711,839829614.5628799,218096087.77290562,32388321.20316626,2020/12/02
648898943.5824642,1061862772.4021122,838148446.8070987,217473233.0211324,32386009.971560568,2020/12/03
648445910.6776669,1060198579.0793327,837755219.3925011,216885534.80941913,32408770.397911932,2020/12/04
648047682.7759807,1058851743.1710776,838300748.4815313,216769967.5224797,32395191.867167607,2020/12/05
648559634.2047497,1058592015.1287154,839151131.6839291,216809114.95156345,32610077.950226367,2020/12/06
648678436.9910703,1057311659.927043,838248536.6479225,216355665.29045177,32785491.237436626,2020/12/07
647645534.2071035,1054263263.8117559,835719741.2306104,215540633.83736867,33002111.896506395,2020/12/08
647943723.140156,1052831814.1109936,835254764.712575,215077998.84945732,33093080.643563613,2020/12/09
647460938.2767804,1050007120.2983643,834266186.2446741,214465033.939714,33049323.492194116,2020/12/10
646583672.4349545,1046975549.9136066,833530364.0845484,213756395.84041286,33048193.685908634,2020/12/11
647051045.8396366,1046287197.5101217,835037679.7315032,213633795.70472065,32971471.239740714,2020/12/12
647925705.2675028,1046251845.4485606,836181896.3921516,213446295.6607794,33054532.775678772,2020/12/13
648900883.8287858,1046064639.1202983,836411079.9303151,212983824.6290316,33139300.440746237,2020/12/14
648652314.8111453,1043512306.9817723,834305859.7164145,212011904.76946613,33297631.855775107,2020/12/15
648785228.9736857,1041806182.6989667,833842274.5149516,211286058.9483657,33283146.564370226,2020/12/16
648260010.3149918,1038900312.6871082,832877764.176014,210464716.2741022,33160725.58995144,2020/12/17
648352009.8083724,1036975106.1248786,833217104.9866832,209701084.34298393,33057682.82125129,2020/12/18
648536283.7209179,1035939941.89886,834633759.5377246,209423984.98287222,32922337.547239434,2020/12/19
649081391.9439713,1035314118.5843,834650877.031,208615031.92997092,32847967.055499014,2020/12/20
650410473.3383155,1034683115.4808685,834654212.5037106,207963334.76939085,32873121.73781675,2020/12/21
651854568.7679641,1033752510.103542,833997151.745791,207134957.01581168,32921991.218205556,2020/12/22
653882287.641922,1034796400.7411112,834180379.2302465,206270593.6243542,32798707.70093055,2020/12/23
655864713.8134139,1035287879.4113053,834492575.1959438,205254962.814585,32502068.2103087,2020/12/24
658381956.1060128,1036030261.6493487,835747143.9617107,204392609.1259725,32412684.44156776,2020/12/25
661339560.9752342,1038553501.0699348,838967090.9025782,204050966.08476657,32176185.494472105,2020/12/26
664461333.609101,1040756278.7558877,841053618.5266227,203545214.0092231,32151454.73015004,2020/12/27
667255313.6807935,1041221794.2156385,842143441.1545973,202964643.77522892,32265950.47670624,2020/12/28
669333487.6769043,1041180031.6216929,842816710.4730483,202144838.1598674,32174972.47321367,2020/12/29
672273974.6120278,1042788065.3978614,844524316.0206816,201576277.6591378,32072903.471235815,2020/12/30
675245512.3604012,1044297534.3610188,846279107.6199344,200979855.40827495,31861821.414384518,2020/12/31
678634753.1248655,1045892230.397398,849057258.0331717,200413192.03569013,31752411.213830497,2021/01/01
682109225.2372978,1047927954.2242109,851775738.8953031,199836640.32392585,31498782.27769905,2021/01/02
685376204.3884604,1049878062.531167,853696005.1960553,199261369.4149719,31454654.230978847,2021/01/03
687928813.7033691,1050801435.3229928,854691024.2820415,198205917.64055377,31384720.38958112,2021/01/04
690302978.0445263,1051096840.5353442,855167976.7663394,197291831.5310313,31405743.70696916,2021/01/05
693671243.3345267,1053013254.8958141,857121832.9560834,196302302.30749744,31341338.255965825,2021/01/06
697167397.401634,1055016314.4194477,859291308.458645,195222231.8456174,31136453.306070846,2021/01/07
702302592.3048577,1059049159.2943085,863291032.0607234,194383903.33615193,31049492.150247518,2021/01/08
708017144.218463,1064064400.4056046,868430577.5794253,194083841.94480217,30816853.022597887,2021/01/09
712283261.8448232,1066995680.9395907,870968151.9713428,193604923.78180143,30749609.72635467,2021/01/10
716474881.366878,1069075784.8887279,873125200.9962943,193364930.12372786,30740227.396592576,2021/01/11
719506703.2809992,1070348125.7599193,873726563.1504458,192376547.61877173,30734985.03236781,2021/01/12
723338023.9567419,1072419715.2792852,876058887.3021559,191970059.35797867,30652227.102903996,2021/01/13
727620513.647204,1075134939.4188716,879145108.574772,191653777.29550254,30448877.66756922,2021/01/14
733253997.8936675,1080237621.465734,883696456.5378882,191410695.64709115,30422604.73214267,2021/01/15
737068150.0714916,1082590176.0276928,886839437.6844833,191025520.5959317,30138710.257361244,2021/01/16
742472284.3248943,1087070328.16344,890493649.6610832,190881107.9895565,30103452.593610406,2021/01/17
746182830.9781379,1089828269.7101758,892179487.7512466,190327375.44545358,30113482.091333963,2021/01/18
750122390.2262242,1092667742.7501874,894007387.5758188,189765967.44390687,30165572.487507552,2021/01/19
754823667.0018508,1095966262.5139556,897135668.021372,189664461.3649903,30094651.386825647,2021/01/20
760620146.5604537,1100586985.5008996,901490313.8709514,189685902.972318,29875443.69043274,2021/01/21
767526034.5668495,1106843161.058608,907703598.8358997,189938743.36321634,29778819.047168415,2021/01/22
775899395.6086375,1114706481.811895,915209027.1783555,190511885.01269677,29464928.562121887,2021/01/23
783751741.8129046,1122447339.2836375,921583529.7084787,191122092.39641175,29406766.842335355,2021/01/24
789978948.7693675,1128106080.4881465,925666903.7414408,191212928.28659782,29357118.314594235,2021/01/25
795925347.5337527,1132964022.9469676,928941869.9107914,191059380.41036743,29329496.865924127,2021/01/26
801672388.6864527,1137342022.5836947,933005508.6728846,191394374.07489896,29247235.53888269,2021/01/27
807797808.748774,1142146492.9912865,937806695.8501464,191808584.58290794,29009970.863925904,2021/01/28
814846386.5983125,1147990088.8713,943828479.3984666,192431979.79166466,28922521.125287,2021/01/29
823049842.784502,1156086355.1417544,951825444.1683689,193421413.50933638,28621100.786762893,2021/01/30
829117340.377177,1161692398.8126907,956789103.4309793,194148225.8742252,28550161.311305642,2021/01/31
834257201.3158364,1166153101.2700377,959788595.5079466,194415494.04112926,28529471.342354383,2021/02/01
838523429.1733072,1169317250.914432,961523266.6969478,194343090.0671445,28542112.096653115,2021/02/02
843266319.0957998,1173124042.0223117,965369592.8593657,195060190.62483898,28477407.700141627,2021/02/03
849834545.0001974,1178638172.97204,970635592.1999719,196064318.6110113,28246210.444452003,2021/02/04
856122507.2664077,1184048328.105334,976118392.8544651,196904143.2355484,28198573.48989636,2021/02/05
864880043.2238287,1192653277.5598843,983679937.0492126,198061055.32559225,27911730.858455572,2021/02/06
872324614.3993222,1200406819.578928,990191871.3498975,199567249.61955157,27926840.175502814,2021/02/07
